Latitude;Longitude;Naam;Stad;Hoofdinstelling;Aantal locaties ;Hoofdlocatie;Aantal bedden;Opmerking bedden;Eerste poliklinische bezoeken (2018);Eerste poliklinische bezoeken (2022);Dagbehandelingen;Klinische opnames;Aantal medewerkers;Verzorgingsgebied;Sanquin uitwisseling;Partner [Ja/Nee];Contract datum;Straat;Nummer;Postcode;Type instelling;Type ziekenhuis;Aantal locaties norm.;Aantal bedden norm.;Eerste poliklinische bezoeken (2023) norm.;Dagbehandelingen norm.;Klinische opnames norm.;Aantal medewerkers norm.;Sanquin uitwisseling norm.;Som;Som norm.;Website
51,4858525;4,3137344;Accureon - Bergen op Zoom;Bergen op Zoom;Accureon;3;-;;;;;;;;;;Ja;44927;Boerhaaveplein;1;4624 VT;Laboratorium;;;;;;;;;;;https://accureon.nl/
51,5286414;4,4373425;Accureon - Roosendaal;Roosendaal;Accureon;3;-;;;;;;;;;;Ja;44927;Boerhaavelaan;25;4708 AE;Laboratorium;;;;;;;;;;;https://accureon.nl/
51,3090862;3,8597855;Accureon - Terneuzen;Terneuzen;Accureon;3;-;;;;;;;;;;Ja;44927;Wielingenlaan;2;4535 PA;Laboratorium;;;;;;;;;;;https://accureon.nl/
52,3857653;4,8409167;Acidadem - Amsterdam;Amsterdam;Acidadem;2;-;;;;;;;;;;Nee;;Arlandaweg;100;1043 HP;Private kliniek;;;;;;;;;;;
51,9232872;4,3417294;Acidadem - Vlaardingen;Vlaardingen;Acidadem;2;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,8394516;5,0186135;A15 Apotheek;Gorinchem;A15 Apotheek;1;-;;;;;;;;;;Nee;;Buys Ballotstraat;2;4207 HT;Groothandel;;;;;;;;;;;http://www.apotheeka15.nl/
51,48482056;3,907333395;ADRZ - Goes;Goes;ADRZ;3;Ja;390;;98267;89101;18280;16554;2170;380000;102;Nee;;;;;Ziekenhuis;;0,2;0,19;0,35;0,35;0,1;0,09;0,32;1,59;0,32;https://www.adrz.nl/
51,45128408;3,566060884;ADRZ - Vlissingen;Vlissingen;ADRZ;3;Nee;;;;;;;;;;Nee;;;;;Ziekenhuis;;;;;;;;;;;https://www.adrz.nl/
51,6564964;3,9286712;ADRZ - Zierikzee;Zierikzee;ADRZ;3;Nee;;;;;;;;;;Nee;;;;;Ziekenhuis;;;;;;;;;;;https://www.adrz.nl/
51,79181724;4,682541975;Albert Schweitzer Ziekenhuis - Dordwijk;Dordrecht;Albert Schweitzer Ziekenhuis;4;Ja;515;;152963;125625;24157;21247;4200;;88;Nee;;;;;Ziekenhuis;;0,27;0,3;0,54;0,51;0,15;0,22;0,27;2,26;0,5;
51,8666648;4,602513;Albert Schweitzer Ziekenhuis - Ridderkerk;Ridderkerk;Albert Schweitzer Ziekenhuis;4;Nee;;;;;;;;;;Nee;;Jan Luykenstraat;8;2985 BV;Polikliniek;;;;;;;;;;;
51,8284202;4,7769612;Albert Schweitzer Ziekenhuis - Sliedrecht;Sliedrecht;Albert Schweitzer Ziekenhuis;4;Nee;;;;;;;;;;Nee;;Stationspark;401;3364 DA;Ziekenhuis;;;;;;;;;;;
51,8264605;4,629492785;Albert Schweitzer Ziekenhuis - Zwijndrecht;Zwijndrecht;Albert Schweitzer Ziekenhuis;4;Nee;;;;;;;;;19;Nee;;;;;Ziekenhuis;;;;;;;;;;;
52,1558282;5,2061798;Alexander Monro Ziekenhuis - Borstkankerziekenhuis;Bilthoven;Alexander Monro Ziekenhuis;1;-;;;;;;;;;;Nee;;Professor Bronkhorstlaan;10;3723 MB;Private kliniek;;;;;;;;;;;
51,9659439;4,5531039;Alexis Kliniek;Rotterdam;Alexis Kliniek;1;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,8300483;5,7594803;Alliance Healthcare - Alloga;Wijchen;Alliance Healthcare;6;;;;;;;;;;;Nee;;Bijsterhuizen;2204;6604 LD;Groothandel;;;;;;;;;;;
52,1746487;5,9662247;Alliance Healthcare - SPITS;Apeldoorn;Alliance Healthcare;6;;;;;;;;;;;Nee;;Oude Apeldoornseweg ;35d;7333 NR;Groothandel;;;;;;;;;;;
51,9067917;4,5822573;Alliance Healthcare - Stephar;Krimpen aan den Ijssel;Alliance Healthcare;6;;;;;;;;;;;Nee;;Van der Giessenweg;5;2921 LP;Groothandel;;;;;;;;;;;
51,6253789;5,5129326;Alliance Healthcare Nederland;Veghel;Alliance Healthcare;6;;;;;;;;;;;Nee;;De Amert;603;5462 GH;Groothandel;;;;;;;;;;;
51,7007889;5,2742705;Alliance Healthcare Nederland Hoofdkantoor;'s-Hertogenbosch;Alliance Healthcare;6;;;;;;;;;;;Nee;;Pomphoekweg;1;5222 BE;Groothandel;;;;;;;;;;;
52,6916647;6,1703694;Alliance Healthcare - Meppel;Meppel;Alliance Healthcare;6;;;;;;;;;;;Nee;;Oliemolenweg ;8;7944HX;Groothandel;;;;;;;;;;;
52,1428839;4,6613989;Alrijne Ziekenhuis - Alphen aan den Rijn;Alphen aan den Rijn;Alrijne Ziekenhuis;5;Nee;;;;;;;;;;Nee;;Meteoorlaan;4;2402WC;Ziekenhuis;;;;;;;;;;;http://www.alrijne.nl/
52,1997139;4,404629;Alrijne Ziekenhuis - Katwijk;Katwijk;Alrijne Ziekenhuis;5;Nee;;;;;;;;;;Nee;;Randweg;47;2225 PJ;Polikliniek;;;;;;;;;;;http://www.alrijne.nl/
52,17382915;4,482974753;Alrijne Ziekenhuis - Leiden;Leiden;Alrijne Ziekenhuis;5;Ja;494;;153971;135018;25326;20754;4400;;98;Nee;;;;;Ziekenhuis;;0,33;0,28;0,59;0,54;0,15;0,23;0,3;2,43;0,55;http://www.alrijne.nl/
52,15666315;4,540884951;Alrijne Ziekenhuis - Leiderdorp;Leidendrop;Alrijne Ziekenhuis;5;Nee;;;;;;;;;;Nee;;;;;Ziekenhuis;;;;;;;;;;;http://www.alrijne.nl/
52,2285793;4,5254047;Alrijne Ziekenhuis - Sassenheim;Sassenheim;Alrijne Ziekenhuis;5;Nee;;;;;;;;;;Nee;;Jan van Brabantweg;33;2171 HE;Polikliniek;;;;;;;;;;;http://www.alrijne.nl/
51,5815694;4,7984708;Amphia Breda - Breda;Breda;Amphia Ziekenhuis;3;Ja;805;;188767;171325;30684;32210;4570;400000;112;Nee;;Molengracht;21;4818CK;Ziekenhuis;;0,2;0,55;0,79;0,69;0,27;0,24;0,35;3,08;0,73;
51,5698749;4,6613685;Amphia Ziekenhuis - Etten-Leur;Etten-Leur;Amphia Ziekenhuis;3;Nee;;;;;;;;;;Nee;;Trivium;76;4873 LP;Ziekenhuis;;;;;;;;;;;
51,64764932;4,870278515;Amphia Ziekenhuis - Oosterhout;Oosterhout;Amphia Ziekenhuis;3;Nee;;;;;;;;;;Nee;;Pasteurlaan;9;4901DH;Ziekenhuis;;;;;;;;;;;
52,29222794;4,956947459;Amsterdam UMC - AMC;Amsterdam;A-UMC;2;Nee;;;;;;;;;175;Ja;1-1-2022;Meibergdreef;9;1105AZ;Ziekenhuis;Academisch (NFU);;;;;;;;;;
52,33459261;4,859503355;Amsterdam UMC - VUMC;Amsterdam;A-UMC;2;Ja;1002;;93058;105615;22978;28564;16000;;131;Ja;1-1-2022;De Boelelaan;1117;1081HV;Ziekenhuis;Academisch (NFU);0,13;0,71;0,44;0,48;0,23;1;0,41;3,4;0,82;http://www.vumc.nl
52,3252812;4,8830847;Andros Blaascentrum - Amsterdam;Amsterdam;Andros Clinics;5;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,9535314;5,8732256;Andros Blaascentrum - Arnhem;Arnhem;Andros Clinics;5;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,2232233;5,2644097;Andros Blaascentrum - Baarn;Baarn;Andros Clinics;5;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,6861808;5,3029927;Andros Blaascentrum - Den Bosch;Den Bosch;Andros Clinics;5;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,0812779;4,3206636;Andros Blaascentrum - Den Haag;Den Haag;Andros Clinics;5;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
50,8479188;5,6688266;Annadal Kliniek;Maastricht;Annadal Kliniek;1;-;;;;;;;;;;Nee;;Brouwersweg;100 C02;6216EG;Ziekenhuis;;;;;;;;;;;https://www.annadal-kliniek.nl/
52,35031133;4,825758249;Antoni van Leeuwenhoek;Amsterdam;Antoni van Leeuwenhoek;1;Ja;212;;115526;23858;17173;8230;3000;;146;Nee;;Plesmanlaan;121;1066CX;Ziekenhuis;;0,07;0,04;0;0,32;0,01;0,14;0,45;1,04;0,17;http://www.avl.nl
52,70368314;5,733378238;Antonius Ziekenhuis - Emmeloord;Emmeloord;Antonius Zorggroep;2;Nee;;;;;;;;;;Nee;;Urkerweg;4;8303BX;Ziekenhuis;;;;;;;;;;;https://www.mijnantonius.nl
